用户ID,订单ID,订单日期,订单金额,支付方式,配送方式
U00001,O206525,2022-02-01,201.4174689454516,花呗,同城配送
U00001,O766959,2022-02-02,32.194886976458506,花呗,自提
U00001,O964907,2022-03-11,66.82737344796472,银行卡,自提
U00001,O211013,2022-04-15,54.94619905426107,支付宝,自提
U00001,O152477,2022-04-22,72.32913132472817,花呗,自提
U00001,O770898,2022-04-23,160.07681594383297,支付宝,同城配送
U00001,O562113,2022-06-17,114.4267964900613,支付宝,同城配送
U00001,O591950,2022-07-19,37.697422425756834,支付宝,自提
U00001,O630358,2022-07-29,16.68176503462829,微信,快递
U00001,O263107,2022-09-16,115.24253721253736,银行卡,同城配送
U00001,O142051,2022-10-23,49.182050594119396,银行卡,自提
U00002,O513351,2022-02-10,44.54209115373561,银行卡,同城配送
U00002,O367095,2022-03-27,25.662399449844724,支付宝,快递
U00002,O609049,2022-05-15,12.918526013253379,支付宝,同城配送
U00002,O296740,2022-05-29,119.68875982556324,花呗,同城配送
U00002,O906796,2022-06-17,22.46532276042293,微信,快递
U00002,O204574,2022-06-28,35.11975367482233,支付宝,快递
U00003,O190127,2022-01-15,111.10885036593082,微信,快递
U00003,O656705,2022-03-01,28.02457124457381,花呗,同城配送
U00003,O144002,2022-03-02,94.76206304522434,支付宝,同城配送
U00003,O463494,2022-03-15,78.21801619428663,花呗,同城配送
U00003,O744025,2022-03-22,36.15234911531492,微信,同城配送
U00003,O177525,2022-03-28,37.17389653921395,花呗,快递
U00003,O964424,2022-05-21,15.857087170238536,花呗,自提
U00004,O827277,2022-02-22,84.78312398656084,微信,同城配送
U00004,O336490,2022-04-05,24.76708930985768,支付宝,自提
U00004,O208599,2022-05-04,201.5335733840048,银行卡,同城配送
U00004,O472202,2022-05-08,23.809124270189677,支付宝,同城配送
U00004,O433803,2022-05-26,26.70552381700923,微信,自提
U00004,O206979,2022-06-14,38.56693171007959,支付宝,快递
U00004,O249007,2022-07-12,79.56051906029661,花呗,自提
U00005,O884794,2022-02-05,242.21538359241825,银行卡,快递
U00005,O331013,2022-02-12,116.7097435316644,花呗,快递
U00005,O271494,2022-02-21,175.5775775031754,微信,自提
U00005,O998792,2022-03-28,33.793819322132244,银行卡,快递
U00005,O251353,2022-04-06,22.865792521000632,微信,自提
U00005,O284704,2022-05-28,24.722192361749908,花呗,同城配送
U00005,O436071,2022-07-21,75.26544731875883,银行卡,同城配送
U00005,O777431,2022-07-26,10.573265061325744,花呗,快递
U00005,O304785,2022-07-28,189.3326807090539,微信,同城配送
U00006,O665789,2022-01-09,74.67053828994229,支付宝,快递
U00006,O403978,2022-02-13,25.697598586120698,银行卡,自提
U00006,O564328,2022-03-30,10.0,微信,自提
U00006,O626598,2022-05-10,27.19151970769018,花呗,同城配送
U00006,O728328,2022-06-29,257.1828032297173,银行卡,快递
U00007,O384124,2022-01-24,51.12002352625076,花呗,快递
U00007,O943515,2022-02-04,31.48039858012788,支付宝,快递
U00007,O492367,2022-03-16,19.805805580159248,花呗,同城配送
U00007,O817597,2022-04-30,416.37857247818556,银行卡,快递
U00007,O741809,2022-06-20,99.93424275983739,银行卡,快递
U00007,O926301,2022-08-10,27.63243674991699,花呗,自提
