日期,SKU,销量,当前库存,成本价,零售价
2021-01-01,SKU1,107,1188,48.47081158625105,183.31736225947853
2021-01-02,SKU1,106,979,97.16233976729723,22.873549945673357
2021-01-03,SKU1,93,874,29.658290279020786,72.46099677507847
2021-01-04,SKU1,101,1108,21.837811190929916,151.63551727580324
2021-01-05,SKU1,117,965,22.188336940091947,174.03526838061748
2021-01-06,SKU1,104,1411,36.08617117481505,21.507685973745765
2021-01-07,SKU1,111,1251,79.97937297923288,176.2715782038227
2021-01-08,SKU1,97,1454,63.528988642259634,133.06372529730396
2021-01-09,SKU1,120,725,93.96539715229812,44.64102706140231
2021-01-10,SKU1,118,653,22.630194777514784,172.91581145569725
2021-01-11,SKU1,97,967,87.28746045318614,75.79859512321005
2021-01-12,SKU1,104,1191,62.80420742374151,76.49797580936153
2021-01-13,SKU1,109,578,28.680189407380123,148.01255992180853
2021-01-14,SKU1,109,1378,16.895149483724037,93.59745788301394
2021-01-15,SKU1,88,1056,99.13893987785505,191.03767913042276
2021-01-16,SKU1,113,1589,64.9128500614051,142.60476561691596
2021-01-17,SKU1,102,802,58.28972916850022,63.61153394888458
2021-01-18,SKU1,113,1173,79.19606413475532,56.161097217050596
2021-01-19,SKU1,93,915,35.18265727350944,134.60763388956366
2021-01-20,SKU1,99,694,19.67909537892194,66.21332554737927
2021-01-21,SKU1,99,887,76.81473333674575,43.59767607362673
2021-01-22,SKU1,106,691,32.79075368750122,154.41896578349386
2021-01-23,SKU1,96,1235,57.14614611501762,150.50314585412286
2021-01-24,SKU1,112,1675,20.69856595768275,143.56922489966956
2021-01-25,SKU1,117,1645,17.24758280994631,127.64050034770106
2021-01-26,SKU1,102,1362,36.44329461618241,68.40352849588922
2021-01-27,SKU1,97,861,12.59587478382694,89.6719655894195
2021-01-28,SKU1,117,838,58.9213990605467,97.77222959600694
2021-01-29,SKU1,115,1138,61.47583062786702,195.09705351784035
2021-01-30,SKU1,96,485,66.45749268940656,195.06711992995454
2021-01-31,SKU1,100,1432,96.04969106536417,26.72409427846734
2021-02-01,SKU1,113,803,69.01549553685919,169.50243486747019
2021-02-02,SKU1,118,1549,66.2646278455706,83.66073173100608
2021-02-03,SKU1,111,769,80.84271213815595,140.2777270000367
2021-02-04,SKU1,107,1470,24.100915903267882,185.59354171086224
2021-02-05,SKU1,129,1064,47.443826764750305,162.7456798071523
2021-02-06,SKU1,120,1149,95.16229997717079,81.71344640932304
2021-02-07,SKU1,115,1408,65.89143842779455,61.07219982162711
2021-02-08,SKU1,109,1042,18.476322318026632,104.966136436268
2021-02-09,SKU1,116,1611,82.56320739259124,142.9497076587811
