客户ID,网龄(月),月费,总费用,是否有电话服务,是否有网络服务,是否有在线安全服务,是否有技术支持,是否有流媒体电视,合同类型,是否无纸化账单,支付方式,是否流失
CU0001,41,77.08564449864227,3160.511424444333,0,0,1,1,1,两年付,0,信用卡,0
CU0002,14,47.275732062557225,661.8602488758012,1,0,1,1,1,月付,1,邮寄支票,0
CU0003,19,49.79134722114834,946.0355972018185,0,1,1,1,1,两年付,1,信用卡,0
CU0004,54,42.42372511827679,2290.8811563869467,1,0,1,0,1,月付,1,邮寄支票,0
CU0005,21,34.35402785127739,721.4345848768252,1,1,1,0,1,月付,1,银行转账,1
CU0006,22,83.42004246508611,1835.2409342318945,0,0,1,0,1,两年付,1,信用卡,1
CU0007,19,62.73219471432771,1191.9116995722266,0,1,0,1,0,两年付,1,银行转账,1
CU0008,44,49.53048158699575,2179.3411898278127,1,1,1,1,1,月付,0,邮寄支票,0
CU0009,55,95.77844070683794,5267.814238876087,1,0,1,1,0,月付,0,电子支票,0
CU0010,28,103.87253496481003,2908.430979014681,0,0,0,0,1,月付,0,银行转账,0
CU0011,64,81.33366077467485,5205.354289579191,0,0,0,0,1,年付,0,电子支票,0
CU0012,43,104.62405464749673,4498.834349842359,1,0,0,1,1,月付,0,电子支票,1
CU0013,25,114.55704882598378,2863.9262206495946,1,0,0,0,1,月付,0,邮寄支票,1
CU0014,15,74.70288090504995,1120.5432135757492,0,0,1,0,0,月付,0,电子支票,0
CU0015,67,47.529985585460025,3184.509034225822,1,1,1,0,0,两年付,1,邮寄支票,1
CU0016,22,113.01222938721601,2486.269046518752,0,1,1,1,0,两年付,1,电子支票,0
CU0017,14,23.18004268521174,324.52059759296435,0,1,1,0,0,年付,1,信用卡,0
CU0018,61,114.96528835508995,7012.882589660487,1,1,1,0,0,年付,0,银行转账,0
CU0019,21,25.34268361339334,532.1963558812602,0,1,0,0,1,年付,0,信用卡,0
CU0020,17,20.53730905041388,349.134253857036,0,0,1,1,1,年付,1,银行转账,0
CU0021,24,98.22048206775058,2357.291569626014,1,0,1,1,0,年付,1,电子支票,0
CU0022,52,42.497764819961006,2209.8837706379722,1,1,0,0,0,年付,0,邮寄支票,0
CU0023,70,45.68317879030013,3197.822515321009,0,1,0,0,1,两年付,1,邮寄支票,0
CU0024,65,59.63312984953296,3876.1534402196426,0,1,0,1,0,月付,0,电子支票,0
CU0025,33,95.0874639132208,3137.8863091362864,1,0,1,1,1,月付,1,银行转账,0
CU0026,26,78.43201307962894,2039.2323400703526,1,1,1,0,1,两年付,1,电子支票,0
CU0027,25,79.26988785753659,1981.7471964384147,1,0,0,1,1,两年付,1,银行转账,0
CU0028,42,66.5667876163919,2795.80507988846,1,0,0,1,1,月付,0,银行转账,0
CU0029,34,22.939338025813655,779.9374928776642,1,1,0,1,0,月付,0,电子支票,0
CU0030,9,59.703861515529695,537.3347536397673,0,0,1,0,0,两年付,1,电子支票,0
CU0031,40,21.207714444311257,848.3085777724502,1,1,0,1,0,年付,1,邮寄支票,0
CU0032,50,65.0837202288173,3254.186011440865,1,0,0,1,0,年付,0,邮寄支票,0
CU0033,40,66.31613379147066,2652.6453516588263,0,0,0,1,0,月付,1,邮寄支票,0
CU0034,57,40.22182389443942,2292.6439619830467,0,1,0,1,0,月付,0,电子支票,0
CU0035,6,56.49342701947538,338.96056211685226,1,1,0,0,1,月付,1,邮寄支票,0
CU0036,71,89.17100074400854,6331.141052824606,0,0,1,0,0,月付,0,信用卡,1
CU0037,40,91.63207344958015,3665.282937983206,1,1,0,0,1,月付,0,电子支票,0
CU0038,27,108.239761997915,2922.473573943705,0,0,0,1,0,两年付,1,邮寄支票,1
CU0039,3,108.83552561504152,326.5065768451245,0,1,1,1,1,年付,1,信用卡,0
CU0040,14,36.43723695657747,510.1213173920846,1,1,0,1,0,年付,1,信用卡,1
CU0041,22,61.85882175204917,1360.8940785450816,1,1,1,0,1,年付,0,信用卡,0
CU0042,32,73.30911797454968,2345.8917751855897,1,1,1,0,0,年付,0,邮寄支票,1
CU0043,26,118.12307432101328,3071.199932346345,1,0,0,0,0,月付,0,信用卡,0
CU0044,11,30.983209058015433,340.8152996381698,1,1,0,1,0,两年付,0,银行转账,0
CU0045,54,98.64355444625272,5326.751940097647,0,0,0,0,0,两年付,0,银行转账,0
CU0046,8,73.32635525412587,586.610842033007,0,1,0,1,1,月付,1,电子支票,1
CU0047,32,77.05493818963653,2465.758022068369,0,1,1,1,0,月付,1,信用卡,0
CU0048,43,23.6867309979411,1018.5294329114673,1,0,1,0,1,年付,1,邮寄支票,1
CU0049,22,62.44766033299413,1373.848527325871,1,1,1,0,0,两年付,1,邮寄支票,0
CU0050,31,77.894947892417,2414.743384664927,0,1,0,1,0,两年付,1,银行转账,1
CU0051,39,62.77187848749342,2448.1032610122434,0,0,1,1,0,年付,0,银行转账,0
CU0052,35,36.76877400108046,1286.907090037816,0,0,0,0,0,两年付,1,电子支票,0
CU0053,10,77.61492612262902,776.1492612262902,0,1,0,1,0,两年付,0,电子支票,0
CU0054,10,101.69555582417757,1016.9555582417757,1,1,1,1,0,月付,1,电子支票,0
CU0055,67,77.70875585915991,5206.486642563714,1,1,0,0,0,年付,0,银行转账,1
CU0056,12,106.2716061248106,1275.2592734977272,0,1,0,1,1,两年付,1,电子支票,0
CU0057,60,91.6714507230772,5500.287043384632,0,1,0,0,0,两年付,0,电子支票,0
CU0058,11,43.5436273311433,478.9799006425763,1,0,1,1,0,两年付,1,邮寄支票,0
CU0059,9,111.86375452846228,1006.7737907561606,1,0,0,0,0,两年付,1,电子支票,0
CU0060,31,42.6120671330981,1320.974081126041,0,1,0,1,0,两年付,1,银行转账,0
CU0061,48,116.66041510139868,5599.699924867136,1,1,0,1,0,月付,0,银行转账,0
CU0062,67,100.97199689395266,6765.123791894828,1,0,0,1,0,年付,1,银行转账,0
CU0063,4,24.877374330631433,99.50949732252573,0,1,0,1,0,年付,0,电子支票,0
CU0064,27,116.97349422219963,3158.2843439993903,1,0,1,0,1,两年付,1,邮寄支票,1
CU0065,38,106.91304646586096,4062.6957657027165,1,1,1,0,1,年付,0,邮寄支票,0
CU0066,31,58.109273741704875,1801.3874859928512,1,1,1,0,0,月付,1,电子支票,0
CU0067,42,85.43672765541079,3588.342561527253,0,1,0,1,0,月付,1,银行转账,0
CU0068,14,111.41539404754393,1559.815516665615,0,1,1,1,1,两年付,0,邮寄支票,0
CU0069,17,86.57463160682352,1471.7687373159997,1,0,0,0,1,月付,0,邮寄支票,1
CU0070,48,34.1266163723257,1638.0775858716336,0,1,1,1,1,年付,0,信用卡,0
CU0071,68,108.24095766966146,7360.385121536979,1,0,0,0,0,年付,0,电子支票,0
CU0072,55,87.41971993488661,4808.084596418764,1,0,1,1,0,月付,1,信用卡,1
CU0073,58,23.33820507867123,1353.6158945629313,1,1,0,0,0,两年付,1,电子支票,0
CU0074,34,84.0041360476481,2856.1406256200353,0,0,1,1,1,年付,1,邮寄支票,0
CU0075,52,35.807729113409295,1862.0019138972834,0,1,1,0,1,月付,0,邮寄支票,0
CU0076,28,95.2208761883581,2666.1845332740268,1,1,1,0,1,年付,1,邮寄支票,0
CU0077,61,49.729258873798926,3033.4847913017347,1,1,0,1,1,月付,1,邮寄支票,0
CU0078,57,87.74502398828521,5001.4663673322575,0,0,0,1,1,月付,1,邮寄支票,1
CU0079,53,42.5910466605312,2257.3254730081535,0,0,1,1,0,月付,1,银行转账,0
CU0080,42,35.41305845324561,1487.3484550363157,0,0,1,1,1,月付,1,电子支票,0
CU0081,20,72.30191871020259,1446.0383742040517,1,1,0,1,1,两年付,1,邮寄支票,0
CU0082,3,75.92075998256271,227.76227994768814,1,0,0,0,0,年付,0,银行转账,0
CU0083,63,83.56491123927037,5264.589408074034,1,0,1,0,1,两年付,1,信用卡,1
CU0084,67,48.170679781863804,3227.435545384875,1,1,1,0,1,年付,0,电子支票,0
CU0085,3,103.78260696024289,311.34782088072865,0,0,0,1,0,年付,0,邮寄支票,0
CU0086,63,102.12136092906528,6433.645738531112,0,0,1,1,1,月付,0,银行转账,1
CU0087,51,26.008814474585357,1326.4495382038533,0,1,1,1,0,月付,0,电子支票,1
CU0088,23,69.38519126589335,1595.8593991155471,0,0,1,0,0,两年付,0,邮寄支票,0
CU0089,8,92.0808338253548,736.6466706028384,0,1,0,0,0,月付,0,邮寄支票,1
CU0090,19,60.965214664496685,1158.339078625437,0,1,0,0,1,年付,0,邮寄支票,0
CU0091,67,33.339234682458134,2233.728723724695,0,0,0,1,1,两年付,1,电子支票,0
CU0092,35,22.347845241973246,782.1745834690636,0,0,1,0,0,两年付,0,电子支票,0
CU0093,47,22.980955022502187,1080.1048860576027,1,0,1,0,0,年付,1,邮寄支票,0
CU0094,15,61.48208614314822,922.2312921472234,0,0,1,1,0,两年付,0,邮寄支票,0
CU0095,13,29.05095500076815,377.6624150099859,0,1,1,1,0,年付,1,电子支票,0
CU0096,5,117.65417807413024,588.2708903706512,1,0,1,0,0,年付,1,信用卡,0
CU0097,70,41.00977372992145,2870.684161094501,0,0,0,0,0,年付,0,银行转账,0
CU0098,45,105.94652951447654,4767.5938281514445,1,0,1,1,1,年付,0,电子支票,1
CU0099,9,51.517708269431786,463.6593744248861,1,0,1,1,1,年付,0,信用卡,0
CU0100,63,23.693557767317834,1492.6941393410236,1,0,1,0,0,两年付,1,电子支票,1
CU0101,24,92.81024675188962,2227.445922045351,0,1,0,0,1,月付,1,邮寄支票,0
CU0102,26,32.82214635762957,853.3758052983688,1,1,0,0,1,两年付,0,邮寄支票,1
CU0103,4,54.350449142100246,217.40179656840098,1,0,0,0,0,两年付,0,电子支票,0
CU0104,42,45.94171016551064,1929.5518269514469,1,0,0,0,1,两年付,0,电子支票,0
CU0105,42,61.93409869019321,2601.2321449881147,1,0,0,1,1,两年付,0,信用卡,0
CU0106,46,64.2564274316478,2955.7956618557987,0,0,0,0,1,月付,0,信用卡,0
CU0107,1,49.93358994658482,49.93358994658482,1,0,1,0,1,月付,0,信用卡,0
CU0108,39,21.374831267176845,833.6184194198969,1,1,0,0,1,年付,0,邮寄支票,0
CU0109,62,119.23481274919247,7392.5583904499335,1,1,0,1,0,两年付,1,银行转账,1
CU0110,36,70.76535489674907,2547.5527762829665,0,1,1,1,0,月付,0,银行转账,0
CU0111,30,28.41591942771982,852.4775828315946,1,1,1,1,1,年付,1,邮寄支票,0
CU0112,20,45.148999953326964,902.9799990665392,1,1,0,0,1,年付,1,电子支票,0
CU0113,52,22.218344451912223,1155.3539114994355,0,0,1,1,1,两年付,0,邮寄支票,0
CU0114,29,105.5399561934317,3060.6587296095195,0,1,0,0,0,年付,0,银行转账,1
CU0115,23,109.49954535437884,2518.4895431507134,0,1,1,1,0,月付,1,邮寄支票,0
CU0116,31,31.23627490356226,968.3245220104301,1,1,0,1,1,两年付,0,信用卡,1
CU0117,70,89.82438283985377,6287.7067987897635,1,0,0,0,0,两年付,1,电子支票,0
CU0118,13,47.71892138374111,620.3459779886344,1,0,0,1,0,年付,0,邮寄支票,0
CU0119,32,41.5309571767946,1328.9906296574272,1,0,0,1,1,年付,0,银行转账,0
CU0120,22,24.027611571988288,528.6074545837423,1,1,1,1,1,年付,0,电子支票,0
CU0121,11,48.52489368506609,533.773830535727,0,1,1,0,0,两年付,0,电子支票,0
CU0122,67,89.01011460160437,5963.677678307493,1,0,1,1,1,两年付,0,邮寄支票,0
CU0123,38,38.933936492655704,1479.4895867209168,0,1,1,1,1,年付,1,银行转账,1
CU0124,34,94.43022551919651,3210.6276676526813,1,0,1,1,0,年付,0,信用卡,1
CU0125,31,85.01695352775846,2635.5255593605125,1,1,0,1,1,两年付,0,邮寄支票,1
CU0126,1,35.63486781319595,35.63486781319595,0,0,1,0,1,年付,1,电子支票,0
CU0127,62,39.90384371187777,2474.038310136422,1,0,1,0,1,年付,1,信用卡,0
CU0128,17,69.96887718467198,1189.4709121394237,1,1,0,1,1,月付,1,银行转账,0
CU0129,7,113.14232566241138,791.9962796368796,0,0,1,0,0,两年付,1,电子支票,0
CU0130,41,118.2184473908778,4846.95634302599,0,1,0,0,0,两年付,1,银行转账,0
CU0131,31,48.99902964134593,1518.9699188817237,0,1,0,0,1,月付,0,信用卡,0
CU0132,25,28.318183915443345,707.9545978860837,1,0,1,0,1,两年付,0,邮寄支票,0
CU0133,36,112.1281485957768,4036.613349447965,1,1,1,0,1,月付,1,银行转账,0
CU0134,53,90.27469149185687,4784.5586490684145,1,0,0,0,0,两年付,1,信用卡,0
CU0135,17,118.15492559171504,2008.6337350591557,0,1,0,1,1,年付,0,信用卡,0
CU0136,1,55.41282043817916,55.41282043817916,0,1,1,1,0,两年付,1,邮寄支票,0
CU0137,17,80.9381040715221,1375.9477692158757,0,0,0,0,1,两年付,0,信用卡,0
CU0138,64,101.33904424610105,6485.698831750467,1,1,1,1,1,年付,0,电子支票,0
CU0139,33,73.53866993106507,2426.7761077251475,0,1,1,1,1,年付,0,电子支票,1
CU0140,68,33.298244038700275,2264.280594631619,1,1,0,0,1,月付,0,信用卡,1
CU0141,62,66.29941240225709,4110.56356893994,0,1,0,0,1,年付,0,银行转账,1
CU0142,42,113.81881584801319,4780.390265616554,0,0,1,1,1,年付,1,信用卡,0
CU0143,66,33.576000289117395,2216.0160190817483,1,1,1,0,0,两年付,0,信用卡,0
CU0144,67,89.64417086229898,6006.159447774032,1,0,0,0,0,两年付,0,邮寄支票,0
CU0145,5,84.67580121079025,423.3790060539513,1,0,1,0,1,年付,1,电子支票,0
CU0146,68,28.571147791445313,1942.8380498182812,0,0,1,1,1,年付,1,邮寄支票,0
CU0147,37,83.75788452209231,3099.0417273174157,1,1,0,1,0,年付,0,银行转账,0
CU0148,2,116.28637006416247,232.57274012832494,0,1,0,0,0,两年付,0,电子支票,1
CU0149,41,118.53531032844658,4859.94772346631,1,1,0,1,0,年付,0,电子支票,0
CU0150,55,82.02577034405213,4511.417368922867,1,1,0,0,1,两年付,0,邮寄支票,1
CU0151,61,113.42514498964188,6918.9338443681545,1,1,1,1,0,两年付,0,银行转账,0
CU0152,31,53.20303107996554,1649.2939634789318,0,1,0,1,0,两年付,0,邮寄支票,0
CU0153,70,28.274149399007335,1979.1904579305135,1,0,0,0,1,月付,0,银行转账,0
CU0154,13,65.545896649001,852.0966564370129,0,1,1,0,1,两年付,0,电子支票,0
CU0155,54,96.56044997097852,5214.26429843284,0,1,1,0,1,两年付,0,信用卡,0
CU0156,52,68.56197366988363,3565.2226308339486,0,1,0,1,0,两年付,1,电子支票,0
CU0157,23,117.92780583987559,2712.3395343171387,0,0,1,0,0,年付,1,银行转账,1
CU0158,6,57.617634758740984,345.7058085524459,1,0,1,1,1,年付,0,信用卡,0
CU0159,48,34.55057670889334,1658.4276820268801,0,1,0,0,1,两年付,1,电子支票,0
CU0160,57,33.098062295090145,1886.5895508201384,1,0,0,1,1,年付,1,银行转账,1
CU0161,58,63.63900958857994,3691.0625561376364,0,1,1,1,1,两年付,0,邮寄支票,0
CU0162,62,117.69517457864387,7297.1008238759205,0,0,1,1,1,月付,1,电子支票,1
CU0163,24,99.27149225836106,2382.515814200666,1,0,1,0,1,两年付,1,信用卡,0
CU0164,27,70.10625359840367,1892.868847156899,0,0,1,0,1,年付,0,银行转账,0
CU0165,23,79.21018994284023,1821.8343686853252,0,1,1,1,0,两年付,1,电子支票,0
CU0166,43,45.60827812561166,1961.1559594013015,0,1,0,0,1,月付,0,信用卡,0
CU0167,42,118.41181183920239,4973.2960972465,1,1,0,1,0,两年付,0,电子支票,0
CU0168,55,59.36170303234172,3264.893666778795,1,1,0,1,1,年付,1,信用卡,1
CU0169,36,72.84765852663773,2622.515706958958,1,0,1,0,1,年付,0,电子支票,0
CU0170,16,50.45512509530464,807.2820015248742,0,1,0,0,1,月付,0,银行转账,0
CU0171,55,46.482713809161005,2556.5492595038554,0,0,0,1,0,两年付,1,电子支票,0
CU0172,62,84.92327799707128,5265.24323581842,0,1,0,1,1,两年付,0,电子支票,1
CU0173,18,84.18579464472202,1515.3443036049964,0,0,0,0,0,两年付,0,邮寄支票,0
CU0174,59,47.121773601368645,2780.18464248075,0,1,1,0,1,年付,1,信用卡,0
CU0175,59,95.46524100428859,5632.449219253027,1,0,1,0,1,年付,0,邮寄支票,0
CU0176,50,47.146426681284524,2357.321334064226,1,0,0,0,0,两年付,1,信用卡,0
CU0177,5,112.11653564125743,560.5826782062871,0,1,1,1,1,月付,0,电子支票,0
CU0178,23,50.04259941371414,1150.9797865154253,1,0,1,1,0,年付,1,电子支票,0
CU0179,1,64.78823483620306,64.78823483620306,1,0,1,0,0,月付,0,银行转账,0
CU0180,64,99.47579963998274,6366.451176958895,1,0,0,1,1,年付,1,信用卡,0
CU0181,54,115.90815365188479,6259.040297201778,1,1,1,0,0,月付,0,邮寄支票,0
CU0182,55,64.59765443614316,3552.8709939878736,1,0,1,0,0,年付,1,信用卡,0
CU0183,50,79.83549148358034,3991.7745741790172,1,1,0,1,1,年付,1,电子支票,0
CU0184,39,74.36194606364754,2900.115896482254,1,0,1,0,0,年付,0,电子支票,1
CU0185,64,94.54462374742631,6050.855919835284,1,1,1,1,1,两年付,1,信用卡,1
CU0186,70,21.402068736663843,1498.144811566469,1,1,0,0,0,月付,0,电子支票,0
CU0187,9,37.302943496614475,335.7264914695303,1,1,1,0,1,两年付,1,银行转账,0
CU0188,12,26.483014017204635,317.7961682064556,0,1,0,1,1,两年付,1,邮寄支票,0
CU0189,21,69.89144624207935,1467.7203710836664,1,1,1,1,0,两年付,0,邮寄支票,0
CU0190,28,90.77374998236621,2541.664999506254,0,0,0,0,1,年付,0,信用卡,0
CU0191,5,44.541836666199515,222.70918333099758,0,1,0,1,1,月付,1,电子支票,0
CU0192,42,23.550075107413086,989.1031545113497,1,0,1,0,1,年付,0,电子支票,0
CU0193,12,112.13539251535425,1345.624710184251,0,1,0,0,1,年付,0,电子支票,0
CU0194,71,100.0055087807827,7100.391123435572,0,0,0,1,0,月付,1,银行转账,0
CU0195,46,97.10982830495547,4467.052102027952,0,1,0,0,1,年付,0,银行转账,1
CU0196,52,52.87561241931785,2749.531845804528,0,0,1,0,0,月付,1,电子支票,0
CU0197,24,98.36300888521663,2360.712213245199,1,0,1,1,0,月付,1,电子支票,1
CU0198,20,41.55879584241496,831.1759168482992,0,0,1,0,0,年付,0,邮寄支票,0
CU0199,45,76.92152181890208,3461.4684818505934,0,1,0,1,1,月付,0,银行转账,0
CU0200,28,29.075201674061226,814.1056468737144,0,0,1,1,1,两年付,0,邮寄支票,0
CU0201,40,69.64348346135075,2785.73933845403,1,1,0,0,1,年付,1,银行转账,1
CU0202,32,81.22669132601878,2599.254122432601,0,1,1,1,0,年付,0,邮寄支票,0
CU0203,68,75.78692843225734,5153.511133393499,1,1,0,0,1,年付,1,电子支票,0
CU0204,23,30.798737424880088,708.370960772242,0,0,0,1,1,年付,0,信用卡,0
CU0205,63,67.5115545133626,4253.227934341844,0,0,1,0,0,年付,0,信用卡,0
CU0206,70,77.44846611909625,5421.392628336737,0,1,1,0,0,年付,1,信用卡,0
CU0207,59,102.47917637254257,6046.271405980012,0,1,1,1,0,两年付,1,信用卡,0
CU0208,28,64.10382302519531,1794.9070447054687,1,1,1,0,0,月付,0,信用卡,1
CU0209,31,88.78826478106345,2752.436208212967,0,0,1,0,1,月付,0,电子支票,0
CU0210,33,115.4659867698751,3810.3775634058784,1,1,0,0,1,两年付,1,银行转账,0
CU0211,5,103.48700302713283,517.4350151356641,1,1,0,0,0,月付,0,电子支票,1
CU0212,13,103.34135720157451,1343.4376436204686,1,1,0,1,1,月付,0,信用卡,0
CU0213,20,25.359161147055314,507.1832229411063,0,0,1,1,0,月付,0,邮寄支票,1
CU0214,62,85.0814215889787,5275.0481385166795,1,1,0,0,0,年付,0,信用卡,1
CU0215,8,82.58478361712628,660.6782689370102,0,1,0,1,0,两年付,0,信用卡,0
CU0216,29,102.18587897390623,2963.3904902432805,0,0,1,0,1,两年付,1,邮寄支票,0
CU0217,64,80.64203240421057,5161.090073869476,1,0,1,1,0,月付,0,电子支票,0
CU0218,13,41.129796787632344,534.6873582392204,0,0,1,1,0,月付,0,银行转账,1
CU0219,41,45.625971669146885,1870.6648384350224,0,1,1,0,0,年付,1,电子支票,0
CU0220,11,76.60500594918558,842.6550654410414,1,1,0,1,0,年付,1,银行转账,0
CU0221,54,108.59588473467261,5864.17777567232,0,1,1,0,0,年付,1,信用卡,0
CU0222,23,25.483835344275043,586.128212918326,0,0,0,1,1,年付,1,信用卡,0
CU0223,35,117.57624256358024,4115.168489725308,0,0,0,1,0,月付,1,电子支票,1
CU0224,28,102.60653574124622,2872.983000754894,0,0,0,1,1,两年付,0,银行转账,0
CU0225,62,69.7371288232675,4323.701987042585,0,0,1,0,0,年付,0,信用卡,0
CU0226,64,92.54057261677016,5922.59664747329,1,0,1,1,0,两年付,1,信用卡,0
CU0227,64,88.47922598653537,5662.670463138264,0,1,1,0,0,月付,1,信用卡,1
CU0228,43,108.32345467993767,4657.908551237319,1,0,0,1,0,月付,0,信用卡,0
CU0229,15,40.98537753798358,614.7806630697537,0,0,1,1,0,两年付,1,邮寄支票,0
CU0230,66,73.41419422850498,4845.336819081329,1,0,0,1,1,两年付,1,银行转账,1
CU0231,30,57.19672800106567,1715.90184003197,0,0,1,1,1,两年付,1,电子支票,0
CU0232,38,35.58553452452188,1352.2503119318314,0,1,1,1,1,两年付,1,银行转账,0
CU0233,34,91.40281161211183,3107.6955948118025,1,0,0,1,0,年付,1,邮寄支票,1
CU0234,35,118.45765076402853,4146.017776740999,1,0,1,0,1,两年付,1,信用卡,0
CU0235,45,35.745096200214036,1608.5293290096315,0,0,1,0,1,月付,0,电子支票,0
