用户ID,实验分组,年龄段,性别,设备类型,页面停留时间(秒),是否转化,点击次数
AB00001,A组(对照组),18-24,男,Android,15.939237056192738,0,4
AB00002,A组(对照组),18-24,女,iOS,279.6591502974236,0,6
AB00003,A组(对照组),25-34,男,PC,29.932496726303864,0,6
AB00004,A组(对照组),25-34,男,PC,31.416672537793332,0,4
AB00005,B组(实验组),18-24,女,iOS,32.01861482308943,1,9
AB00006,B组(实验组),25-34,男,Android,186.05169806068238,0,4
AB00007,A组(对照组),25-34,男,Android,11.788781487824481,0,11
AB00008,B组(实验组),18-24,男,iOS,107.50239597971586,0,2
AB00009,A组(对照组),25-34,女,PC,193.3330297636343,0,14
AB00010,A组(对照组),35-44,男,PC,73.0903932043776,0,6
AB00011,A组(对照组),18-24,女,PC,26.745671661320266,0,4
AB00012,A组(对照组),25-34,男,PC,56.25453435295428,0,7
AB00013,B组(实验组),45+,男,PC,20.018197542340538,0,5
AB00014,B组(实验组),18-24,女,iOS,56.53608722082506,0,5
AB00015,A组(对照组),25-34,女,Android,40.56750203093638,0,9
AB00016,B组(实验组),35-44,男,Android,5.46996283774572,0,5
AB00017,B组(实验组),25-34,男,Android,28.75739143959873,0,8
AB00018,A组(对照组),45+,男,iOS,58.03768270580416,1,6
AB00019,A组(对照组),35-44,男,Android,34.276878538493314,0,7
AB00020,B组(实验组),25-34,女,iOS,79.0913539322829,0,3
AB00021,B组(实验组),45+,男,PC,93.08707840828019,0,10
AB00022,B组(实验组),25-34,男,PC,112.36913974942298,0,11
AB00023,A组(对照组),35-44,男,iOS,0.8773568676478736,0,6
AB00024,B组(实验组),45+,女,PC,21.163870255414555,0,8
AB00025,A组(对照组),35-44,女,Android,0.8495120429106984,0,5
AB00026,B组(实验组),35-44,男,Android,24.14515723426586,0,5
AB00027,A组(对照组),45+,女,PC,80.09493842904384,0,4
AB00028,A组(对照组),18-24,男,iOS,18.840104046616837,0,4
AB00029,B组(实验组),35-44,男,Android,4.777253234689026,0,6
AB00030,A组(对照组),35-44,女,iOS,106.30173377845479,0,5
AB00031,B组(实验组),18-24,男,Android,4.658121060130507,0,4
AB00032,B组(实验组),35-44,男,PC,60.5963990304678,0,4
AB00033,A组(对照组),25-34,男,Android,44.504621955275745,0,7
AB00034,B组(实验组),25-34,男,Android,45.162761727975074,0,8
AB00035,A组(对照组),35-44,女,PC,10.498296492873038,0,5
AB00036,A组(对照组),18-24,女,Android,2.235402142407848,0,5
AB00037,B组(实验组),35-44,女,Android,21.899222701686092,0,7
AB00038,A组(对照组),35-44,男,PC,25.480679895652102,0,6
AB00039,A组(对照组),18-24,女,PC,27.264076342549274,0,10
AB00040,A组(对照组),45+,男,iOS,5.977099442802416,0,1
AB00041,A组(对照组),35-44,男,PC,16.124932024472088,0,5
AB00042,B组(实验组),45+,女,Android,5.1831368094066494,0,5
AB00043,B组(实验组),45+,男,Android,49.794680740533835,0,8
AB00044,A组(对照组),25-34,女,Android,15.919434830032593,0,6
AB00045,A组(对照组),45+,男,Android,83.08113567533226,0,4
AB00046,A组(对照组),45+,男,PC,84.72998261434851,0,2
AB00047,A组(对照组),35-44,女,Android,15.541778274350586,0,3
AB00048,A组(对照组),25-34,男,PC,8.362934401012016,0,4
AB00049,B组(实验组),45+,男,iOS,57.69492706997955,0,1
AB00050,A组(对照组),45+,男,Android,118.553220240331,0,4
AB00051,A组(对照组),18-24,男,Android,25.04599463230297,0,4
AB00052,A组(对照组),18-24,男,Android,94.68220065015215,0,4
AB00053,B组(实验组),25-34,女,iOS,185.49513265111207,0,7
AB00054,A组(对照组),45+,女,iOS,11.82867247843301,0,3
AB00055,A组(对照组),18-24,女,iOS,13.274488610518459,0,4
AB00056,B组(实验组),25-34,女,Android,3.110565638152149,0,4
AB00057,B组(实验组),18-24,男,PC,16.484441561109954,0,6
AB00058,A组(对照组),35-44,女,iOS,42.235937771014065,0,6
AB00059,B组(实验组),35-44,男,Android,59.198673764642955,0,5
AB00060,A组(对照组),25-34,女,Android,28.341703614364317,0,3
AB00061,A组(对照组),35-44,男,PC,119.06935645005836,1,5
AB00062,B组(实验组),45+,男,PC,25.100309720506853,0,6
AB00063,A组(对照组),18-24,男,Android,48.953906898766434,0,2
AB00064,A组(对照组),18-24,男,iOS,13.980966800136011,0,3
AB00065,B组(实验组),45+,男,PC,223.8801362020332,1,7
AB00066,A组(对照组),25-34,女,PC,42.92544641167134,0,4
AB00067,A组(对照组),45+,女,PC,125.60575491506651,0,4
AB00068,B组(实验组),35-44,女,iOS,85.53894414067139,0,9
AB00069,A组(对照组),18-24,女,PC,4.516677638171746,0,4
AB00070,B组(实验组),35-44,男,PC,24.698187349487437,0,7
AB00071,A组(对照组),18-24,男,iOS,0.9195083106244542,0,4
AB00072,B组(实验组),35-44,女,PC,23.384233442085023,0,10
AB00073,A组(对照组),18-24,男,iOS,70.38587575813374,0,3
AB00074,A组(对照组),35-44,男,iOS,158.6492880442437,0,5
AB00075,A组(对照组),35-44,男,PC,95.21768869818075,0,4
AB00076,B组(实验组),35-44,男,iOS,75.01708391245785,0,1
AB00077,B组(实验组),25-34,男,PC,6.222394518002078,0,11
AB00078,A组(对照组),45+,女,PC,29.347814197008688,0,2
AB00079,A组(对照组),18-24,女,PC,15.431451584480996,0,3
AB00080,A组(对照组),25-34,女,iOS,150.6646694267864,1,6
AB00081,B组(实验组),18-24,男,PC,4.7056321369314675,0,7
AB00082,A组(对照组),45+,男,Android,64.47011024883464,0,3
AB00083,A组(对照组),35-44,女,Android,4.582296502750527,0,3
AB00084,A组(对照组),45+,女,Android,41.37615859811872,0,8
AB00085,B组(实验组),25-34,女,PC,9.463159448553995,0,7
AB00086,B组(实验组),35-44,女,Android,32.437564347786896,0,4
AB00087,B组(实验组),18-24,女,iOS,24.12363701705724,1,2
AB00088,A组(对照组),45+,女,PC,103.47984085234975,0,8
AB00089,A组(对照组),25-34,女,Android,8.14034449531336,0,5
AB00090,A组(对照组),45+,女,iOS,3.6843876577597454,0,7
AB00091,A组(对照组),18-24,女,Android,85.66753311119939,0,5
AB00092,A组(对照组),35-44,女,iOS,145.9122113660277,0,5
AB00093,A组(对照组),18-24,女,Android,4.3788143840826415,0,3
AB00094,A组(对照组),35-44,女,PC,9.635122062663715,0,6
AB00095,B组(实验组),25-34,男,PC,26.662067923775442,0,5
AB00096,B组(实验组),45+,男,iOS,137.41920726154743,0,4
AB00097,A组(对照组),25-34,女,iOS,25.269031547692475,0,6
AB00098,A组(对照组),35-44,男,PC,4.496257908680398,0,7
AB00099,A组(对照组),25-34,女,Android,2.3817594284959416,0,1
AB00100,B组(实验组),25-34,男,PC,44.03338871352096,0,3
AB00101,A组(对照组),45+,女,PC,108.73302072792103,0,6
AB00102,B组(实验组),18-24,男,iOS,100.25467859256776,1,5
AB00103,B组(实验组),35-44,男,Android,67.68620103319454,0,3
AB00104,B组(实验组),18-24,男,PC,30.39052246554846,0,5
AB00105,A组(对照组),45+,男,Android,16.836907932529016,0,4
AB00106,A组(对照组),45+,女,iOS,32.31849016412651,0,5
AB00107,A组(对照组),25-34,女,PC,366.18891959137926,0,6
AB00108,A组(对照组),18-24,女,iOS,190.81542475149814,1,2
AB00109,B组(实验组),35-44,女,PC,138.92888692794878,1,6
AB00110,A组(对照组),35-44,女,iOS,96.31634639770778,0,2
AB00111,B组(实验组),35-44,女,PC,38.775373378556246,0,6
